entity_id,total_comments
do_114281355336155136172,65
do_1142735697829642241155,21
do_114347731887816704154,26
do_1143486649654968321408,71
do_1140350408242954241231,12
do_114388882974556160148,56
do_1138764064194150401101,92
do_113816922171514880136,85
do_1144674052493967361762,39
do_114338611990716416121,14
do_113971401286148096114,74
do_113994699208572928197_rc,32
do_11356506447165030418,358
do_1137767291039989761132,24
do_114192800587423744124,24
do_11427849187282944014,7
do_1137273413166694401199,1
do_1144517811266355201924,66
do_1142877769976299521437,2
do_1138416492139479041122,20
do_1143033821701980161493,119
do_114318890728366080180,33
do_1135027685419827201697,6
do_1138121407692881921275,2761
do_1139458506667786241108,31
do_1144632467387596801299,1
do_1140795481305661441637,32
do_1143314291755581441211,131
do_1142025067650170881325,229
do_11436332667373977611291,68
do_11383263936732364816,242
do_1139954106661601281113,1567
do_1140873947952824321104,24
do_1141066236085698561254,1
do_114240306322268160135,19
do_11427843210289971213,9
do_113883465816473600186,1
do_1142898191051243521360,8
do_1139664204178964481102,5
do_114323782131621888146,38
do_11434365818569523211240,37
do_114457039769853952119,163
do_1139267688909373441128,73
do_113827558681935872125,313
do_114358541424656384164,101
do_1140511555534356481355,206
do_1142090863854141441597,78
do_1143167319480074241666,21
do_113814186971127808181,65
do_11422765186151219211479,72
do_113837446542917632167,7
do_1142395104748912641598,41
do_1138919130348912641239,20
do_11436405987884236811467,5124
do_1143344537001082881508,32
do_1143068097240268801649,54
do_1144115734974709761139,38
do_1137745949944463361149,1096
do_1138566152274821121103,774
do_113841149822099456195,57
do_114273467429085184144,457
do_1134122749184163841194,336
do_1143038904889835521391,163
do_11438813715204505611132,142
do_11435127794950144011122,12
do_113816342168297472118,135
do_1140102728303902721315,113
do_113598963949133824140,21
do_11391672014338457611,665
do_1144716631278878721149,34
do_1139995831901798401154,1
do_11390681437514956814,2
do_114430643970244608142,32
do_1143981585403494401715,33
do_1144313214006640641173,4
do_1143578949292605441369,23
do_1144455549356933121640,32
do_1142352346875248641193,7
do_1141009298027151361192,1
do_1135883358970101761189,24
do_1140017961653534721223,3211
do_1143239195825029121620,11
do_1143571439157166081424,15
do_11440654117768396811274,359
do_1142432175613706241256,199
do_1141496905135472641576,84
do_1142897175746969601335,5
do_1143068226840166401494,773
do_1141831851080744961113,121
do_1142822013501767681108,155
do_1139954743362355201126,2482
do_114183171049758720199,24
do_114169589243240448176,14
do_114383864783200256135,21
do_11443136415719424011,3
do_1143090578672680961150,7
do_1141846209122877441122,1
do_1141015519978455041191,5
do_1142346804614103041112,2
do_11436771416172134411914,23
do_113474580745502720125,2
do_113574942995939328196,38
ext_114471825187799040142,1
do_113827504524124160138,1
do_11422387564452249611278,169
do_11365551288897536011,126
do_11436209770792550411095,14
ext_114471824326877184158,1
do_114240882747457536156,41
do_1142885133063700481485,1
ext_114471829010751488181,2
do_114085867803426816153,1
do_114324395884167168125,46
do_113813351909122048120,1
do_113981828589232128161,91
do_1136259137587445761503,3
do_1141831764409794561109,62
do_11440795901456384011364,30
do_1143811885930987521603,30
do_1137440126441635841217,30
do_1134128837234933761200,10
do_1136336378422312961815,21
do_1138856995597352961111,31
do_11422755711163596811443,91
do_114258011714961408199,79
do_113989594913333248131,3
do_1141150956170444801358,20
do_1142352649850798081219,1
do_114470917924823040192,68
do_113873674199097344168,25
do_114170292476690432119,6
do_114279212867698688161,2
do_1136260178920570881590,6
do_1143925063535083521244,30
do_1141490269586472961196,104
do_11401228653310771217,35
do_1143537771449712641228,20
do_1143025695116738561282,47
do_1142933157719080961664,23
do_113559291747221504152,3
do_1134149270973480961372,4
do_1144441255330775041626,3
do_1140801899774935041622,18
do_1144462671361884161519,58
do_1135947505370890241121,181
do_1143286958188789761554,559
do_114432781526237184160,2
do_11436617298375475211675,81
do_1143860849835868161571,14
do_1140767250780897281381,5
do_113994729126813696197_rc,33
do_1141502662588252161618,301
do_1141389772515246081304,18
do_1143810681112739841173,71
do_11436414831105638411511,17
do_1136294832765747201723,7
do_1136308144723640321761,62
do_1140599049320611841221,1
do_1143987688807874561778,37
do_114278508050915328173,140
do_1143838047495536641845,28
do_11431462841334988811077,59
do_1141489883402240001540,25
do_1141831777850163201100,1
do_11439104830573772811132,33
do_113945787056267264183,14
do_1141846129745510401157,62
do_11389912306823168013,13
do_113831164262629376180,11
do_114169606107832320172,103
do_113846654928789504139,281
do_1142877508153425921207,4
do_1142636812851036161102,110
do_1142849169826037761302,4
do_1142918437277122561548,25
do_1142906469028986881316,220
ext_114471836168110080166,14
do_11440369975386931211066,14
do_114168732811550720146,240
do_1142686106350305281274,11
do_11425303493053644813,70
do_1144521082695843841987,34
do_114020194648309760181,2
do_114095917917872128132_rc,138
null,1
do_1141533862295633921623,3
do_113814188659933184190,3
do_1142884225328578561461,6
do_1138870112922583041122,1
do_1140337106094571521244,3
do_11431676352300646411182,27
do_1141489661885071361540,3
do_1142154036471152641871,16
do_1144512445917675521762,32
do_11431683329237811211244,1
do_1142650958216396801130,8
do_1142651234273689601129,32
do_114085987614834688170,1
do_113855213033168896158,13
do_1144513261144719361751,9
do_1143590851433431041466,12
do_1144803511507025921339,28
ext_11411660109171097613,26
do_1141184125394042881433_rc,6
do_1141612290533048321786,1
do_1142919710330716161429,1
do_1143272259578839041479,30
do_113832663003914240113,49
do_1143345324020039681510,121
do_1144476583431782401754,57
do_1143578073702727681570,31
do_114095780873625600147,119
do_11442220494265548811776,2
do_114284748210487296180,56
do_1142501215946670081233,2322
do_11382608353594572819,9
do_114168166796476416112,30
do_114388813229367296142,123
do_113895694548631552116_rc,4
do_113906834096111616110,1
do_113836739863207936151,654
do_11431320849250713611040,8
do_1141065817229475841277,264
do_113692646428237824157,18
do_114168731878457344146,111
do_1142847303826718721100,48
do_1143052789530787841562,935
do_1143888350078484481188,47
do_114386247520870400139,45
do_1142403514408550401271,231
do_113754091197407232163,7
do_1143090105441075201347,11
do_114170267616518144120,6
do_1142926758607257601395,7
do_1142679274848501761156,121
do_1144668161751613441611_rc,2
do_114388043872714752172_rc,8
do_113387660811657216174,12
do_1142373689125273601412,29
do_1137782200944803841179,83
do_11440652021906636811263,25
do_1137731307613716481132,2
do_114015788885106688114,1
do_114253848486567936155,186
do_113762555284332544135,61
do_11436843900763340812065,2
do_1142797792712048641150,1449
do_1135460230498222081311,6
do_114283523028172800148,16
do_114395502138703872123,14
do_113945727381250048172,5
do_113986243151429632131,17
do_114168160672333824136,13
do_113555045150236672121,18
do_1142848995500769281266,4
do_1144322234664878081199,26
do_1142388480746536961124,200
do_1141095669359656961333,65
do_1136082081173176321280,6
do_11438802964374323211047_rc,9
do_1142594501050040321293,34
do_1144434588781363201410,344
do_1140901233436180481144,1
do_113720773242814464182,22
do_114333040186032128112,7
do_11439811008942899219,51
do_1144815079243038721460,115
do_114170291944448000122,35
do_11445323060492697611014,8
do_11439315669078016011237,39
do_1137398815398379521173,8
do_113916882497536000120,3
do_113829110686228480159,40
do_1140101870594785281321,38
do_1141351851706286081212,48
do_1144379268466114561226,46
do_1141143501874872321429_rc,25
do_11433949649357209611129,9
do_1142040690443714561461,33
do_113981825850187776160,4
do_114012437600313344122,27
do_113837564734291968177,1
do_114353467729133568166,5
do_11445475109520179211135,12
do_1144625496931041281244,116
do_1142339652866375681137,10
do_11384676141762150411,90
do_114278634801725440141,2
