entity_id,comment
do_1142155196302868481949,very good 
do_1142155196302868481949,very good 
do_1142155196302868481949,informative
do_1142155196302868481949,great help
do_1142155196302868481949,"Good, please make in English too."
do_1142155196302868481949,I like it
do_1142155196302868481949,Very useful 
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good 
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,Good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,very good
do_1142155196302868481949,very informative session 
do_1142155196302868481949,good 
do_1142155196302868481949,goid
do_1142155196302868481949,good
do_1142155196302868481949,Do
do_1142155196302868481949,good 
do_1142155196302868481949,good
do_1142155196302868481949,nice
do_1142155196302868481949,Very good 
do_1142155196302868481949,good 
do_1142155196302868481949,Good 
do_1142155196302868481949,good
do_1142155196302868481949,good 
do_1142155196302868481949,Nice Course
do_1142155196302868481949,nice
do_1142155196302868481949,nice 
do_1142155196302868481949,माहिती देणे खूप चांगले आहे
do_1142155196302868481949,excellent and helpful 
do_1142155196302868481949,good
do_1142155196302868481949,nice 
do_1142155196302868481949,very nice 
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,"course completed, but certificate not generating, please "
do_1142155196302868481949,Course completed but certificate not generated 
do_1142155196302868481949,", "
do_1142155196302868481949,👍
do_1142155196302868481949,Super
do_1142155196302868481949,good 
do_1142155196302868481949,✌️
do_1142155196302868481949,good
do_1142155196302868481949,VERY NICE
do_1142155196302868481949,brry much informative course
do_1142155196302868481949,very nice 👍
do_1142155196302868481949,very good 
do_1142155196302868481949,good 
do_1142155196302868481949,Very informative and excellent courses 
do_1142155196302868481949,9
do_1142155196302868481949,😀
do_1142155196302868481949,informative 
do_1142155196302868481949,very nice 
do_1143033522120048641340,add english language 
do_1143033522120048641340,Good 
do_1143033522120048641340,excellent course material 
do_1143033522120048641340,good information 🙏
do_1143033522120048641340,🙏
do_1143033522120048641340,GOOD
do_1143033522120048641340,GOOD
do_1143033522120048641340,GOOD
do_114085356224651264150,EXCELLENT COURSE
do_114085356224651264150,Nice course. 
do_114085356224651264150,Ok
do_114085356224651264150,Not able to listen two videos (first nd third) due to errors.
do_114085356224651264150,DHFC Module-8 Part-1 and 2 is not functioning properly. The msg shown as Youtube unknown error(151)
do_114085356224651264150,youtube error occurred 
do_114085356224651264150,youtube error occurred.How shall I watch the video
do_114085356224651264150,Even if one question is wrong it is showing as 90% failed. How can it be.
do_114085356224651264150,VERY USEFULL
do_114085356224651264150,thank you 
do_114085356224651264150,I got a lot of information.
do_114085356224651264150,good 
do_114085356224651264150,excellent
do_114085356224651264150,excellent infrormation about future health monitoring
do_114085356224651264150,most useful 
do_114085356224651264150,most important 
do_114085356224651264150,very good 
do_114085356224651264150,Very informative and it can be very useful for any organization
do_114085356224651264150,very informative video's 
do_114085356224651264150,👌
do_114085356224651264150,wekdone
do_114085356224651264150,Very beautiful video and very good information has been provided.
do_114085356224651264150,process thoda slow he
do_114085356224651264150,Very informative 
do_114085356224651264150,😑
do_114085356224651264150,🥲🥲
do_114085356224651264150,🥲👍
do_114085356224651264150,Nice 
do_114085356224651264150,THIS IS EXCELLENT 
do_114085356224651264150,"our CM used Smart ring for monitoring real time health status  ,that is the importance of medical equipements and apps"
do_114085356224651264150,very good 💯
do_114085356224651264150,good 
do_114085356224651264150,good
do_114085356224651264150,good 👍
do_114085356224651264150,very good 
do_114085356224651264150,very good
do_114085356224651264150,good
do_114085356224651264150,Nice importations 
do_114085356224651264150,99 % hi complete show ho rha  h
do_114085356224651264150,99%only then how 
do_114085356224651264150,75% complete show kar eaha h
do_114085356224651264150,👍
do_114085356224651264150,good
do_114085356224651264150,very nice
do_114085356224651264150,very nice
do_114085356224651264150,99 percent hi then how complete
do_114085356224651264150,very nice
do_114085356224651264150,very nice
do_114085356224651264150,1
do_114085356224651264150,4
do_114085356224651264150,😀
do_114085356224651264150,Good
do_114085356224651264150,Very exceptional emotional and empathic real stories of great human being
do_114085356224651264150,very nice
do_114085356224651264150,very nice
do_114085356224651264150,very nice
do_114085356224651264150,plz provide my certificate
do_114085356224651264150,very good
do_114085356224651264150,good topic
do_114085356224651264150,more learn
do_114085356224651264150,👍
do_114085356224651264150,useful for patients
do_114085356224651264150,"I already completed the course but still showing only 99% overall progress of the course. I am not able to understand where that 1% course is still pending. Please check, show completed certificate & as well as add points also. 🙏"
do_114085356224651264150,good topic.
do_114085356224651264150,very good
do_114085356224651264150,files not opening
do_114085356224651264150,....;l[
do_114085356224651264150,good 
do_114085356224651264150,hello
do_114085356224651264150,hi
do_114085356224651264150,👍🙏
do_113729186519785472154,right
do_113729186519785472154,pdf not opening 
do_113729186519785472154,best
do_113729186519785472154,ok
do_113729186519785472154,ok
do_113729186519785472154,ok
do_113729186519785472154,pdf not opening professional effectiveness  etc
do_113729186519785472154,"in non executive, PDF of personal effectiveness and creative thinking not opening,due to this I am not completing my cource , pl made available."
do_113729186519785472154,"in non Executive  module, PDF of personal  effective Ness and creative  thinking  not opening , due to that my course is not completed. Pl. do early  action"
do_113729186519785472154,ये personal effiectiveness और creative thininking pdf खुल आता नहीं हैँ l server error मिलता है खुलते पे l इस वचय से मुछे अपने course खथम नहीं करना नहीं हो सकता हैl इसके लिए मदद कीजिये l
do_113729186519785472154,"In 2. Non-executive section 02 PDFs not opening Personal Effectiveness & Creative Thinking pdf not opening, due to this I can not complete my course, kindly n/a."
do_113729186519785472154,Can't open two documents (Personal Effectiveness & Creative Thinking) in NonExecutive section. My course showing incomplete. How can I complete and get certificate?
do_113729186519785472154,can't open two documents personal effectiveness and creative thinking. can't complete course.
do_113729186519785472154,can not open two documents 
do_113729186519785472154,"can  not open 2 pdf, pls resolve "
do_113729186519785472154,can not open 2 pdf please resolve this problem 
do_113729186519785472154,can't open two pdf 
do_113729186519785472154,can't open 2 pdf pl resolve issue
do_113729186519785472154,can't open two pdf please resolve the problem how to get certificate without pdf
do_113729186519785472154,"two pdf not opening , devoted large chunk of time only to know that certificate can not be generated. pls resolve"
do_113729186519785472154,creative thinking pdf not opening
do_113729186519785472154,"creative thinking pdf, other 2 pdf not working "
do_113729186519785472154,"personal effectiveness pdf , creative thinking pdf not working "
do_113729186519785472154,
